ID,NodeType,weight,x,y,degree,degree.in,degree.out,degreeCentrality,OutDegreeCentrality,label,origID
"1,1",0,1,0,0,35,31,4,0.00012713218841716792,2.9058785923924097E-05,0,
"1,101",0,1,0,0,38,19,19,0.00013802923313863946,0.00013802923313863946,50,
"1,103",2,1,0,0,39,30,9,0.00014166158137913,6.538226832882923E-05,51,
"1,105",0,1,0,0,39,24,15,0.00014166158137913,0.00010897044721471537,52,
"1,107",0,1,0,0,34,22,12,0.00012349984017667742,8.71763577717723E-05,53,
"1,109",0,1,0,0,51,24,27,0.00018524976026501613,0.00019614680498648767,54,
"1,11",2,1,0,0,46,20,26,0.00016708801906256356,0.00018888210850550663,5,
"1,111",0,1,0,0,73,11,62,0.0002651614215558074,0.00045041118182082354,55,
"1,113",1,1,0,0,38,22,16,0.00013802923313863946,0.00011623514369569639,56,
"1,115",7,1,0,0,35,29,6,0.00012713218841716792,4.358817888588615E-05,57,
"1,117",0,1,0,0,37,30,7,0.00013439688489814896,5.0852875366867175E-05,58,
"1,119",0,1,0,0,49,32,17,0.0001779850637840351,0.00012349984017667742,59,
"1,121",0,1,0,0,53,22,31,0.00019251445674599716,0.00022520559091041177,60,
"1,123",0,1,0,0,44,22,22,0.00015982332258158253,0.00015982332258158253,61,
"1,125",0,1,0,0,37,28,9,0.00013439688489814896,6.538226832882923E-05,62,
"1,127",7,1,0,0,44,30,14,0.00015982332258158253,0.00010170575073373435,63,
"1,129",2,1,0,0,55,16,39,0.00019977915322697817,0.00028332316275826,64,
"1,13",0,1,0,0,43,32,11,0.00015619097434109203,7.991166129079127E-05,6,
"1,131",2,1,0,0,64,25,39,0.00023247028739139278,0.00028332316275826,65,
"1,133",2,1,0,0,49,13,36,0.0001779850637840351,0.0002615290733153169,66,
"1,15",1,1,0,0,45,23,22,0.00016345567082207306,0.00015982332258158253,7,
"1,17",0,1,0,0,38,22,16,0.00013802923313863946,0.00011623514369569639,8,
"1,19",0,1,0,0,51,30,21,0.00018524976026501613,0.00015255862610060152,9,
"1,21",0,1,0,0,43,13,30,0.00015619097434109203,0.00021794089442943074,10,
"1,23",1,1,0,0,47,25,22,0.00017072036730305407,0.00015982332258158253,11,
"1,25",1,1,0,0,101,28,73,0.00036686717228954173,0.0005303228431116148,12,
"1,27",7,1,0,0,52,19,33,0.00018888210850550663,0.0002397349838723738,13,
"1,29",2,1,0,0,39,26,13,0.00014166158137913,9.444105425275332E-05,14,
"1,3",1,1,0,0,50,28,22,0.00018161741202452563,0.00015982332258158253,1,
"1,31",2,1,0,0,41,13,28,0.000148926277860111,0.0002034115014674687,15,
"1,33",0,1,0,0,39,25,14,0.00014166158137913,0.00010170575073373435,16,
"1,35",0,1,0,0,36,29,7,0.00013076453665765845,5.0852875366867175E-05,17,
"1,37",0,1,0,0,36,17,19,0.00013076453665765845,0.00013802923313863946,18,
"1,39",2,1,0,0,54,14,40,0.00019614680498648767,0.000290587859239241,19,
"1,41",1,1,0,0,46,14,32,0.00016708801906256356,0.00023247028739139278,20,
